gauge	HUC2	Dry	PctFlow	m_90-10	err_1_abs	err_1b	break	err_2_abs	err_2b	m_1	m_2	err_ratio_abs	LAT	LONG
1658500	2	1	98.81735588972431	4.9008125173993	0.3052792344182974	-0.2831701407128678	72.13666979949875	0.0767238367380893	0.011188558442049317	3.9669774114701988	8.361495557018912	3.9789359786636234	38.58734000000001	-77.4286
1664000	2	0	100	3.816113359242425	0.2034814684443465	-0.19312607773957866	72.0	0.04627488809030633	0.00022021130082233297	3.2002118739927594	5.937551808435715	4.39723307482124	38.53068	-77.8136
1666500	2	0	100	2.961905719586443	0.11063420978811475	-0.07760974719834607	77.0	0.04255982353565031	0.023598279319869114	2.6635686264917044	4.499489199382404	2.599498790107572	38.32513	-78.09555999999998
1667500	2	0	100	3.298821662019073	0.1097682687945209	-0.0787462038878516	76.0	0.04894992265690825	0.022298580700854685	2.996452799045293	4.724274873181179	2.242460515492345	38.35041	-77.975
1669000	2	1	99.78259119091715	3.340450521440989	0.20461937830509971	-0.20117759786840655	75.83476930509703	0.03483876862516528	-0.006681500410521329	2.7571675758455023	6.090212979248283	5.873324069131877	37.87708	-76.90052
1669520	2	1	99.52087611225188	4.441096186216551	0.492294460873064	-0.49229257111754793	68.6694045174538	0.08606945063028099	-0.0712503582333806	3.024889836436933	8.419961645121187	5.719735135614596	37.63375	-76.69635
2011400	2	0	100	3.313026360331968	0.10293038686386036	0.10215244109230352	28.0	0.02182379445137873	0.020651489235352784	4.207272915429063	3.053406392723133	4.716429450120562	38.04235	-79.88144
2011460	2	0	100	4.490315773031081	0.11910938834468023	-0.09183926765048715	65.0	0.04271148850828383	0.0236024210887745	4.07577516346737	5.402305114071246	2.7886967301919046	38.2454	-79.76866
2013000	2	0	100	3.8385898976750896	0.16885330355467892	0.16839153046291022	29.0	0.053151348767061256	0.05223876650056028	5.045967312546885	3.4625215225510884	3.1768394870784546	37.8029	-80.047
2014000	2	0	100	3.288861449957602	0.14062589858538319	0.14039398049286944	28.0	0.043041130652630405	0.04253706480913147	4.36256927482084	2.9771398233844044	3.267244527573511	37.72901	-80.04228
2015700	2	0	100	2.679161011413859	0.17477273072244082	0.17477273072244082	36.0	0.05198806838333615	0.05184911460216345	3.6129077107890426	2.229579267270252	3.361785428028349	38.1954	-79.57032
2016000	2	0	100	3.2201533225745775	0.16677415126009199	0.16677415126009199	37.0	0.04551832278827675	0.04551832278827675	4.107117253062855	2.768303773080549	3.663890518018926	37.7918	-79.75949
2017500	2	0	100	4.008114707085599	0.1173113881908999	0.11644994958120707	70.0	0.0355726417578403	0.02099756045173332	4.322312154636784	3.065522364432045	3.297798037871173	37.50624000000001	-80.10670999999998
2018000	2	0	100	3.5879947278033684	0.1680791547808584	0.1680791547808584	73.0	0.05782918123118429	0.05774142518564373	3.9338947531216992	2.3061299280942573	2.906476474375916	37.66596	-79.91144
2027000	2	0	100	3.534142027411284	0.12205614822572894	-0.09298686233198819	70.0	0.047003717858331795	0.023096658522735077	3.152033771264488	4.680466795851674	2.5967339135513403	37.71542	-78.98169
2027500	2	0	100	3.7484097281672386	0.18694037144723807	-0.1695381692255447	71.0	0.06166472687637697	0.00894936932668469	3.1705197467891195	5.60374072101278	3.0315608438842	37.70236	-79.02752
2028500	2	0	100	3.7836348637780506	0.16351840154516054	-0.12294856024253033	77.0	0.06011250977402764	0.027220972959051376	3.340970941280852	6.065056618186693	2.720205863302861	37.86959	-78.82335
2038850	2	0	100	2.7855964010504044	0.10056518260557328	-0.03132569979829932	83.0	0.06640368831875376	0.05053920950053823	2.5641125710980703	5.095356341981892	1.514451759408846	37.41542000000001	-78.63584
